iter	Passed	Remaining
0	39	9837
1	51	6380
2	63	5214
3	74	4609
4	86	4241
5	98	3989
6	109	3813
7	121	3663
8	132	3548
9	143	3451
10	156	3406
11	168	3334
12	179	3271
13	190	3218
14	202	3171
15	214	3130
16	225	3095
17	237	3060
18	249	3028
19	262	3020
20	275	3009
21	289	2999
22	301	2978
23	313	2955
24	325	2931
25	338	2917
26	351	2902
27	363	2880
28	378	2882
29	390	2862
30	402	2840
31	415	2832
32	428	2819
33	441	2802
34	453	2784
35	465	2769
36	478	2753
37	492	2749
38	506	2738
39	518	2723
40	531	2709
41	543	2693
42	555	2675
43	567	2656
44	580	2643
45	595	2639
46	608	2630
47	622	2619
48	636	2608
49	649	2598
50	663	2587
51	676	2576
52	690	2566
53	703	2554
54	717	2543
55	731	2532
56	744	2521
57	758	2510
58	772	2500
59	785	2487
60	799	2475
61	812	2464
62	826	2453
63	840	2442
64	853	2430
65	867	2419
66	881	2408
67	894	2395
68	908	2384
69	922	2371
70	935	2358
71	948	2345
72	961	2331
73	975	2320
74	989	2308
75	1002	2295
76	1016	2283
77	1029	2270
78	1043	2258
79	1057	2246
80	1070	2234
81	1084	2221
82	1096	2206
83	1110	2194
84	1124	2182
85	1137	2169
86	1151	2156
87	1163	2142
88	1176	2129
89	1189	2115
90	1202	2101
91	1215	2087
92	1228	2074
93	1242	2062
94	1256	2050
95	1269	2035
96	1282	2022
97	1295	2009
98	1309	1996
99	1323	1984
100	1336	1971
101	1350	1958
102	1363	1946
103	1377	1933
104	1390	1920
105	1404	1908
106	1418	1895
107	1432	1882
108	1445	1869
109	1458	1856
110	1471	1842
111	1484	1828
112	1499	1817
113	1513	1805
114	1525	1790
115	1538	1777
116	1552	1764
117	1566	1751
118	1580	1739
119	1594	1726
120	1606	1713
121	1621	1700
122	1635	1688
123	1650	1676
124	1665	1665
125	1678	1651
126	1691	1638
127	1706	1626
128	1722	1615
129	1744	1610
130	1759	1598
131	1775	1587
132	1791	1575
133	1805	1563
134	1820	1550
135	1835	1538
136	1851	1527
137	1866	1514
138	1881	1502
139	1895	1489
140	1910	1476
141	1925	1464
142	1940	1451
143	1955	1439
144	1970	1426
145	1985	1414
146	1999	1401
147	2014	1388
148	2029	1375
149	2044	1362
150	2059	1350
151	2075	1338
152	2090	1325
153	2105	1312
154	2120	1299
155	2135	1287
156	2151	1274
157	2165	1261
158	2181	1248
159	2196	1235
160	2211	1222
161	2226	1209
162	2241	1196
163	2256	1183
164	2271	1169
165	2286	1156
166	2300	1143
167	2315	1130
168	2330	1117
169	2345	1103
170	2360	1090
171	2375	1077
172	2390	1063
173	2405	1050
174	2420	1037
175	2435	1023
176	2450	1010
177	2464	996
178	2478	983
179	2493	969
180	2511	957
181	2526	944
182	2541	930
183	2557	917
184	2572	903
185	2587	890
186	2601	876
187	2616	862
188	2629	848
189	2645	835
190	2661	822
191	2676	808
192	2689	794
193	2705	780
194	2719	767
195	2734	753
196	2749	739
197	2763	725
198	2776	711
199	2788	697
200	2801	682
201	2813	668
202	2825	654
203	2837	639
204	2849	625
205	2861	611
206	2873	596
207	2885	582
208	2897	568
209	2909	554
210	2922	540
211	2934	525
212	2946	511
213	2958	497
214	2970	483
215	2982	469
216	2994	455
217	3006	441
218	3018	427
219	3030	413
220	3042	399
221	3054	385
222	3066	371
223	3078	357
224	3091	343
225	3103	329
226	3115	315
227	3127	301
228	3139	287
229	3151	274
230	3163	260
231	3175	246
232	3187	232
233	3199	218
234	3211	205
235	3223	191
236	3235	177
237	3247	163
238	3259	150
239	3271	136
240	3283	122
241	3296	108
242	3308	95
243	3320	81
244	3332	68
245	3345	54
246	3359	40
247	3374	27
248	3389	13
249	3403	0
