iter	Passed	Remaining
0	19	6977
1	37	6518
2	54	6339
3	72	6233
4	89	6162
5	106	6115
6	123	6068
7	141	6031
8	158	6002
9	175	5975
10	192	5946
11	210	5919
12	227	5896
13	244	5871
14	262	5854
15	279	5841
16	297	5821
17	314	5801
18	332	5784
19	349	5762
20	366	5743
21	383	5721
22	401	5702
23	418	5682
24	435	5663
25	453	5645
26	470	5628
27	487	5610
28	505	5590
29	522	5572
30	539	5553
31	557	5536
32	574	5519
33	591	5501
34	609	5483
35	626	5464
36	643	5447
37	661	5428
38	668	5333
39	685	5316
40	703	5301
41	720	5285
42	738	5270
43	755	5254
44	772	5237
45	790	5221
46	807	5205
47	824	5189
48	842	5172
49	859	5159
50	877	5142
51	894	5126
52	911	5109
53	929	5093
54	946	5077
55	964	5061
56	969	4981
57	986	4966
58	992	4897
59	1010	4884
60	1027	4869
61	1044	4854
62	1062	4838
63	1079	4823
64	1084	4756
65	1090	4692
66	1107	4679
67	1125	4667
68	1142	4653
69	1159	4639
70	1177	4626
71	1194	4612
72	1211	4598
73	1229	4584
74	1246	4568
75	1263	4553
76	1279	4537
77	1296	4521
78	1313	4506
79	1330	4490
80	1335	4435
81	1352	4420
82	1369	4405
83	1375	4354
84	1392	4339
85	1408	4325
86	1426	4310
87	1442	4295
88	1459	4281
89	1476	4266
90	1493	4251
91	1510	4237
92	1527	4221
93	1544	4207
94	1561	4191
95	1578	4177
96	1591	4151
97	1608	4136
98	1625	4121
99	1629	4073
100	1646	4059
101	1659	4034
102	1676	4019
103	1689	3995
104	1706	3980
105	1723	3966
106	1740	3952
107	1757	3937
108	1774	3922
109	1791	3908
110	1808	3893
111	1825	3878
112	1842	3864
113	1859	3848
114	1876	3833
115	1892	3818
116	1909	3803
117	1926	3788
118	1943	3773
119	1960	3758
120	1978	3743
121	1995	3728
122	2012	3713
123	2028	3697
124	2046	3682
125	2062	3667
126	2079	3651
127	2096	3636
128	2114	3622
129	2131	3606
130	2148	3591
131	2164	3575
132	2182	3560
133	2198	3544
134	2215	3529
135	2228	3507
136	2245	3491
137	2262	3476
138	2279	3460
139	2296	3445
140	2313	3429
141	2330	3413
142	2347	3398
143	2364	3382
144	2381	3366
145	2398	3351
146	2415	3335
147	2432	3319
148	2449	3304
149	2466	3288
150	2483	3272
151	2500	3256
152	2517	3241
153	2533	3225
154	2550	3209
155	2567	3193
156	2584	3177
157	2601	3160
158	2618	3144
159	2634	3128
160	2651	3113
161	2668	3097
162	2676	3070
163	2693	3054
164	2706	3034
165	2723	3018
166	2740	3003
167	2757	2987
168	2774	2971
169	2791	2955
170	2808	2939
171	2821	2919
172	2838	2904
173	2855	2888
174	2872	2872
175	2889	2856
176	2906	2840
177	2923	2824
178	2940	2809
179	2957	2792
180	2974	2777
181	2991	2761
182	3008	2745
183	3025	2729
184	3042	2713
185	3059	2697
186	3076	2681
187	3092	2665
188	3109	2649
189	3126	2633
190	3143	2617
191	3160	2600
192	3177	2584
193	3194	2568
194	3211	2552
195	3228	2536
196	3244	2520
197	3261	2503
198	3278	2487
199	3295	2471
200	3312	2455
201	3328	2439
202	3345	2422
203	3362	2406
204	3379	2390
205	3396	2374
206	3413	2358
207	3430	2342
208	3447	2325
209	3464	2309
210	3481	2293
211	3497	2276
212	3514	2260
213	3531	2244
214	3548	2228
215	3565	2211
216	3582	2195
217	3599	2179
218	3616	2163
219	3633	2147
220	3651	2131
221	3668	2114
222	3685	2098
223	3702	2082
224	3719	2066
225	3736	2049
226	3753	2033
227	3769	2017
228	3786	2000
229	3803	1984
230	3820	1968
231	3837	1951
232	3854	1935
233	3871	1919
234	3888	1902
235	3905	1886
236	3922	1870
237	3939	1854
238	3957	1837
239	3974	1821
240	3992	1805
241	4009	1789
242	4026	1772
243	4042	1756
244	4059	1739
245	4076	1723
246	4093	1707
247	4110	1690
248	4127	1674
249	4144	1657
250	4161	1641
251	4178	1624
252	4195	1608
253	4212	1592
254	4229	1575
255	4246	1559
256	4264	1543
257	4281	1526
258	4298	1510
259	4310	1492
260	4327	1475
261	4344	1459
262	4361	1442
263	4378	1426
264	4395	1409
265	4412	1393
266	4429	1376
267	4446	1360
268	4462	1343
269	4479	1327
270	4496	1310
271	4513	1294
272	4530	1277
273	4547	1261
274	4564	1244
275	4583	1228
276	4600	1212
277	4617	1195
278	4634	1179
279	4651	1162
280	4667	1146
281	4685	1129
282	4701	1113
283	4719	1096
284	4736	1080
285	4754	1063
286	4771	1047
287	4788	1030
288	4805	1014
289	4823	997
290	4840	981
291	4857	964
292	4874	948
293	4896	932
294	4913	916
295	4931	899
296	4948	883
297	4966	866
298	4983	850
299	5000	833
300	5017	816
301	5035	800
302	5052	783
303	5069	767
304	5086	750
305	5104	733
306	5121	717
307	5138	700
308	5156	684
309	5173	667
310	5190	650
311	5207	634
312	5225	617
313	5242	601
314	5259	584
315	5277	567
316	5294	551
317	5311	534
318	5329	517
319	5346	501
320	5363	484
321	5381	467
322	5398	451
323	5415	434
324	5432	417
325	5449	401
326	5467	384
327	5484	367
328	5501	351
329	5519	334
330	5536	317
331	5553	301
332	5570	284
333	5588	267
334	5605	250
335	5622	234
336	5640	217
337	5657	200
338	5674	184
339	5691	167
340	5709	150
341	5726	133
342	5743	117
343	5760	100
344	5778	83
345	5795	66
346	5812	50
347	5829	33
348	5847	16
349	5864	0
