iter	Passed	Remaining
0	9	5480
1	15	4677
2	22	4422
3	28	4280
4	35	4179
5	41	4117
6	47	4056
7	54	4021
8	60	3999
9	67	3968
10	73	3941
11	79	3908
12	86	3888
13	92	3874
14	98	3855
15	105	3844
16	111	3832
17	118	3823
18	124	3812
19	131	3804
20	137	3796
21	144	3789
22	150	3779
23	157	3768
24	163	3759
25	169	3750
26	176	3741
27	182	3732
28	188	3721
29	195	3713
30	201	3705
31	208	3696
32	214	3688
33	221	3679
34	227	3671
35	233	3665
36	240	3657
37	246	3649
38	253	3641
39	259	3635
40	266	3629
41	272	3621
42	278	3613
43	285	3606
44	291	3599
45	298	3592
46	304	3585
47	311	3578
48	317	3571
49	323	3563
50	330	3556
51	336	3548
52	343	3542
53	349	3535
54	356	3528
55	362	3521
56	368	3514
57	375	3507
58	382	3509
59	389	3501
60	395	3495
61	401	3487
62	408	3481
63	414	3474
64	421	3467
65	427	3460
66	434	3453
67	440	3445
68	446	3439
69	453	3432
70	459	3426
71	466	3418
72	472	3411
73	479	3404
74	485	3397
75	491	3391
76	498	3385
77	504	3377
78	511	3371
79	517	3364
80	524	3357
81	530	3350
82	536	3344
83	543	3337
84	549	3331
85	556	3324
86	562	3318
87	569	3311
88	575	3304
89	582	3298
90	588	3294
91	595	3287
92	601	3280
93	608	3274
94	614	3267
95	621	3260
96	627	3253
97	633	3245
98	640	3239
99	646	3232
100	652	3225
101	659	3218
102	665	3211
103	671	3204
104	678	3197
105	684	3189
106	690	3183
107	697	3176
108	703	3170
109	710	3163
110	716	3156
111	723	3150
112	729	3143
113	735	3136
114	742	3129
115	748	3123
116	755	3116
117	761	3110
118	767	3103
119	774	3096
120	780	3089
121	786	3082
122	793	3076
123	799	3069
124	805	3062
125	812	3056
126	818	3049
127	825	3042
128	831	3036
129	837	3029
130	844	3022
131	850	3016
132	857	3009
133	863	3003
134	870	2996
135	876	2990
136	882	2983
137	889	2977
138	895	2970
139	902	2964
140	908	2958
141	915	2951
142	921	2945
143	928	2938
144	934	2931
145	940	2925
146	947	2919
147	953	2912
148	959	2905
149	966	2899
150	972	2892
151	979	2885
152	985	2879
153	991	2872
154	998	2866
155	1004	2859
156	1011	2853
157	1017	2846
158	1023	2839
159	1030	2833
160	1036	2826
161	1043	2820
162	1049	2813
163	1055	2807
164	1062	2800
165	1068	2793
166	1075	2787
167	1081	2781
168	1087	2774
169	1094	2767
170	1100	2761
171	1106	2754
172	1113	2747
173	1119	2741
174	1125	2734
175	1132	2728
176	1139	2722
177	1145	2715
178	1151	2708
179	1158	2702
180	1164	2695
181	1170	2689
182	1177	2682
183	1183	2675
184	1189	2669
185	1196	2662
186	1202	2656
187	1209	2649
188	1215	2643
189	1221	2636
190	1228	2630
191	1234	2623
192	1241	2617
193	1247	2610
194	1253	2603
195	1260	2597
196	1266	2590
197	1272	2584
198	1279	2577
199	1285	2571
200	1291	2564
201	1298	2557
202	1304	2551
203	1311	2545
204	1317	2538
205	1323	2532
206	1330	2525
207	1336	2519
208	1343	2512
209	1349	2506
210	1356	2499
211	1362	2493
212	1368	2486
213	1375	2480
214	1381	2473
215	1387	2467
216	1394	2461
217	1400	2454
218	1407	2448
219	1413	2441
220	1419	2434
221	1426	2428
222	1432	2421
223	1438	2415
224	1445	2408
225	1451	2402
226	1458	2396
227	1464	2389
228	1471	2383
229	1477	2376
230	1483	2370
231	1489	2363
232	1496	2356
233	1502	2350
234	1508	2343
235	1515	2337
236	1521	2330
237	1528	2324
238	1534	2317
239	1540	2311
240	1547	2304
241	1553	2298
242	1559	2291
