iter	Passed	Remaining
0	35	17689
1	50	12581
2	69	11437
3	84	10426
4	98	9800
5	113	9342
6	127	8999
7	142	8734
8	156	8530
9	171	8407
10	185	8261
11	200	8139
12	214	8038
13	229	7949
14	243	7867
15	257	7795
16	272	7729
17	286	7665
18	300	7606
19	314	7555
20	329	7506
21	343	7460
22	357	7415
23	371	7375
24	386	7338
25	401	7323
26	415	7284
27	430	7251
28	444	7222
29	459	7203
30	474	7180
31	489	7160
32	504	7145
33	520	7127
34	535	7108
35	549	7088
36	565	7070
37	580	7052
38	595	7034
39	610	7023
40	625	7006
41	640	6987
42	655	6968
43	670	6950
44	685	6931
45	700	6913
46	715	6895
47	730	6877
48	745	6858
49	760	6842
50	775	6826
51	790	6809
52	805	6792
53	820	6776
54	835	6760
55	850	6743
56	865	6727
57	880	6709
58	895	6692
59	910	6676
60	925	6659
61	940	6643
62	955	6626
63	970	6609
64	985	6593
65	1000	6577
66	1015	6561
67	1030	6544
68	1045	6527
69	1060	6511
70	1075	6496
71	1090	6480
72	1105	6464
73	1120	6448
74	1134	6431
75	1149	6414
76	1164	6399
77	1179	6382
78	1194	6366
79	1209	6350
80	1224	6334
81	1239	6318
82	1254	6303
83	1269	6288
84	1284	6273
85	1300	6258
86	1315	6242
87	1330	6227
88	1345	6211
89	1360	6196
90	1375	6180
91	1390	6165
92	1405	6150
93	1420	6135
94	1435	6120
95	1450	6104
96	1465	6088
97	1480	6073
98	1495	6057
99	1510	6042
100	1525	6026
101	1540	6011
102	1555	5996
103	1570	5981
104	1585	5965
105	1600	5949
106	1615	5935
107	1630	5919
108	1646	5905
109	1661	5890
110	1676	5874
111	1691	5859
112	1706	5844
113	1721	5828
114	1736	5813
115	1751	5797
116	1766	5782
117	1781	5767
118	1796	5752
119	1811	5736
120	1826	5720
121	1841	5705
122	1856	5689
123	1871	5673
124	1885	5657
125	1900	5642
126	1915	5626
127	1930	5610
128	1945	5595
129	1960	5579
130	1975	5564
131	1990	5548
132	2005	5532
133	2019	5517
134	2034	5501
135	2049	5486
136	2064	5470
137	2079	5455
138	2094	5439
139	2109	5423
140	2124	5408
141	2139	5392
142	2153	5377
143	2168	5361
144	2183	5346
145	2198	5331
146	2214	5316
147	2229	5301
148	2243	5285
149	2258	5270
150	2273	5255
151	2288	5239
152	2303	5223
153	2318	5208
154	2333	5192
155	2347	5177
156	2362	5162
157	2377	5146
158	2392	5130
159	2407	5115
160	2421	5099
161	2436	5084
162	2451	5068
163	2466	5053
164	2481	5037
165	2496	5022
166	2510	5006
167	2525	4991
168	2540	4975
169	2555	4960
170	2570	4945
171	2585	4929
172	2599	4914
173	2614	4898
174	2630	4885
175	2645	4869
176	2660	4854
177	2675	4839
178	2690	4824
179	2704	4808
180	2719	4793
181	2734	4777
182	2749	4762
183	2764	4747
184	2779	4732
185	2794	4716
186	2809	4701
187	2823	4686
188	2839	4671
189	2854	4656
190	2869	4642
191	2884	4627
192	2899	4612
193	2914	4597
194	2929	4582
195	2944	4567
196	2960	4553
197	2975	4537
198	2990	4522
199	3005	4508
200	3020	4493
201	3035	4478
202	3050	4463
203	3065	4448
204	3081	4433
205	3096	4419
206	3111	4404
207	3126	4389
208	3141	4374
209	3156	4359
210	3172	4344
211	3187	4329
212	3202	4314
213	3217	4299
214	3232	4284
215	3247	4269
216	3262	4254
217	3277	4239
218	3292	4224
219	3307	4209
