iter	Passed	Remaining
0	13	3319
1	23	2937
2	34	2802
3	44	2730
4	54	2683
5	65	2646
6	75	2633
7	86	2618
8	97	2600
9	107	2587
10	118	2575
11	129	2563
12	141	2586
13	152	2566
14	162	2546
15	172	2526
16	183	2509
17	193	2493
18	203	2474
19	213	2459
20	224	2443
21	234	2428
22	244	2413
23	254	2398
24	265	2385
25	278	2397
26	288	2385
27	298	2370
28	309	2356
29	319	2342
30	329	2329
31	340	2316
32	350	2304
33	360	2290
34	370	2277
35	380	2264
36	391	2253
37	401	2241
38	414	2242
39	424	2230
40	435	2217
41	445	2206
42	455	2194
43	466	2182
44	476	2170
45	486	2158
46	497	2146
47	507	2134
48	517	2122
49	529	2119
50	540	2108
51	550	2096
52	560	2085
53	571	2073
54	581	2061
55	591	2049
56	601	2037
57	612	2026
58	622	2015
59	634	2010
60	645	1998
61	655	1987
62	665	1976
63	676	1965
64	686	1953
65	696	1942
66	707	1931
67	717	1919
68	727	1908
69	737	1897
70	748	1886
71	758	1874
72	770	1867
73	780	1855
74	790	1844
75	800	1833
76	811	1822
77	821	1811
78	831	1800
79	842	1789
80	852	1778
81	862	1767
82	872	1755
83	882	1744
84	893	1733
85	904	1724
86	914	1713
87	924	1702
88	935	1691
89	945	1680
90	955	1669
91	965	1658
92	976	1647
93	986	1636
94	996	1625
95	1007	1615
96	1017	1605
97	1028	1595
98	1039	1585
99	1050	1575
100	1060	1564
101	1071	1554
102	1082	1544
103	1092	1533
104	1103	1523
105	1113	1513
106	1124	1503
107	1135	1492
108	1146	1482
109	1156	1472
110	1167	1462
111	1178	1451
112	1188	1441
113	1199	1431
114	1210	1420
115	1220	1410
116	1231	1399
117	1241	1389
118	1252	1378
119	1263	1369
120	1274	1358
121	1284	1348
122	1295	1337
123	1305	1326
124	1316	1316
125	1327	1306
126	1337	1295
127	1348	1285
128	1359	1274
129	1372	1266
130	1383	1256
131	1393	1246
132	1404	1235
133	1415	1224
134	1425	1214
135	1436	1203
136	1446	1193
137	1457	1182
138	1468	1172
139	1480	1163
140	1491	1152
141	1501	1142
142	1512	1131
143	1522	1121
144	1533	1110
145	1544	1099
146	1554	1089
147	1564	1078
148	1574	1067
149	1584	1056
150	1595	1045
151	1605	1035
152	1615	1024
153	1625	1013
154	1636	1002
155	1646	991
156	1656	981
157	1666	970
158	1676	959
159	1687	949
160	1697	938
161	1707	927
162	1717	916
163	1728	906
164	1738	895
165	1748	884
166	1758	874
167	1768	863
168	1779	852
169	1789	842
170	1799	831
171	1810	820
172	1820	810
173	1830	799
174	1840	788
175	1851	778
176	1861	767
177	1871	757
178	1881	746
179	1891	735
180	1902	725
181	1912	714
182	1922	703
183	1932	693
184	1942	682
185	1953	672
186	1963	661
187	1974	651
188	1984	640
189	1994	629
190	2004	619
191	2014	608
192	2025	598
193	2035	587
194	2045	576
195	2055	566
196	2065	555
197	2075	545
198	2085	534
199	2096	524
200	2106	513
201	2117	503
202	2127	492
203	2137	482
204	2147	471
205	2157	460
206	2168	450
207	2178	439
208	2188	429
209	2198	418
210	2208	408
211	2219	397
212	2229	387
213	2239	376
214	2249	366
215	2259	355
216	2269	345
217	2280	334
218	2290	324
219	2300	313
220	2310	303
221	2320	292
222	2331	282
223	2341	271
224	2351	261
225	2361	250
226	2371	240
227	2382	229
228	2392	219
229	2403	209
230	2414	198
231	2424	188
232	2435	177
233	2445	167
234	2456	156
235	2467	146
236	2477	135
237	2488	125
238	2499	115
239	2509	104
240	2520	94
241	2530	83
242	2541	73
243	2552	62
244	2562	52
245	2573	41
246	2583	31
247	2594	20
248	2605	10
249	2615	0
