iter	Passed	Remaining
0	16	8446
1	30	7697
2	44	7440
3	58	7286
4	72	7199
5	86	7136
6	100	7078
7	114	7027
8	128	6992
9	141	6957
10	155	6927
11	169	6902
12	183	6881
13	197	6860
14	212	6857
15	225	6834
16	239	6813
17	253	6792
18	267	6783
19	281	6765
20	295	6747
21	310	6749
22	324	6728
23	338	6711
24	352	6695
25	366	6677
26	380	6658
27	393	6640
28	408	6630
29	422	6612
30	435	6594
31	449	6577
32	463	6561
33	477	6545
34	491	6528
35	505	6512
36	519	6496
37	533	6481
38	547	6468
39	561	6452
40	575	6438
41	589	6426
42	603	6410
43	617	6395
44	630	6379
45	644	6364
46	658	6349
47	672	6333
48	686	6316
49	700	6302
50	714	6288
51	728	6274
52	742	6258
53	755	6243
54	769	6229
55	784	6216
56	798	6202
57	811	6186
58	825	6171
59	839	6156
60	853	6141
61	867	6127
62	881	6111
63	895	6098
64	909	6085
65	923	6070
66	936	6055
67	953	6056
68	967	6041
69	980	6026
70	995	6013
71	1009	5999
72	1023	5984
73	1036	5968
74	1050	5953
75	1064	5937
76	1078	5922
77	1091	5907
78	1105	5892
79	1120	5882
80	1134	5867
81	1148	5853
82	1162	5839
83	1176	5825
84	1190	5810
85	1204	5796
86	1218	5782
87	1232	5768
88	1245	5753
89	1259	5739
90	1273	5724
91	1287	5710
92	1301	5696
93	1315	5682
94	1329	5668
95	1343	5653
96	1357	5638
97	1371	5623
98	1384	5609
99	1398	5595
100	1412	5580
101	1426	5566
102	1440	5552
103	1454	5538
104	1468	5523
105	1482	5509
106	1496	5495
107	1509	5480
108	1524	5466
109	1538	5453
110	1552	5439
111	1565	5424
112	1579	5410
113	1593	5396
114	1607	5382
115	1621	5368
116	1635	5354
117	1649	5339
118	1663	5326
119	1677	5312
120	1691	5297
121	1705	5284
122	1719	5269
123	1733	5255
124	1747	5241
125	1761	5227
126	1775	5213
127	1788	5199
128	1803	5186
129	1817	5172
130	1831	5158
131	1845	5144
132	1859	5129
133	1873	5115
134	1887	5101
135	1900	5087
136	1914	5072
137	1929	5061
138	1943	5047
139	1957	5032
140	1971	5018
141	1984	5004
142	1998	4989
143	2012	4975
144	2026	4961
145	2040	4947
146	2054	4933
147	2068	4919
148	2082	4905
149	2096	4891
150	2110	4878
151	2124	4864
152	2138	4850
153	2152	4835
154	2166	4822
155	2180	4808
156	2194	4794
157	2208	4779
158	2222	4765
159	2236	4751
160	2249	4737
161	2264	4723
162	2278	4710
163	2292	4696
164	2306	4683
165	2320	4669
166	2334	4655
167	2348	4641
168	2363	4628
169	2377	4614
170	2391	4601
171	2405	4587
172	2420	4574
173	2434	4560
174	2448	4547
175	2462	4533
176	2476	4520
177	2491	4506
178	2505	4492
179	2519	4479
180	2533	4465
181	2547	4451
182	2562	4438
183	2576	4424
184	2590	4410
185	2604	4397
186	2618	4383
187	2633	4369
188	2647	4356
189	2661	4342
190	2675	4328
191	2689	4314
192	2703	4300
193	2717	4287
194	2731	4273
195	2746	4259
196	2760	4245
197	2774	4231
198	2788	4217
199	2802	4204
200	2816	4190
201	2831	4176
202	2846	4163
203	2860	4150
204	2874	4136
205	2888	4123
206	2903	4109
207	2917	4096
208	2932	4082
209	2946	4068
210	2960	4055
211	2974	4041
212	2989	4028
213	3003	4014
214	3018	4000
215	3032	3986
216	3046	3973
217	3060	3959
218	3075	3945
219	3089	3931
220	3103	3917
221	3117	3903
222	3131	3890
223	3145	3876
224	3160	3862
225	3174	3848
226	3188	3834
227	3202	3820
228	3217	3807
229	3231	3793
230	3245	3779
231	3259	3765
232	3273	3751
233	3287	3737
234	3302	3723
235	3316	3709
236	3330	3695
237	3344	3681
238	3358	3667
239	3372	3653
240	3387	3640
241	3401	3626
242	3415	3612
243	3429	3597
244	3443	3583
245	3457	3569
246	3471	3555
247	3485	3541
248	3499	3527
249	3513	3513
250	3527	3499
251	3541	3485
252	3555	3471
253	3569	3457
254	3583	3443
255	3597	3429
256	3613	3416
257	3627	3402
258	3642	3388
259	3656	3374
260	3670	3361
