iter	Passed	Remaining
0	86	43345
1	114	28506
2	134	22350
3	155	19255
4	175	17379
5	194	16046
6	214	15098
7	234	14426
8	254	13869
9	273	13401
10	292	13008
11	311	12651
12	332	12443
13	352	12251
14	372	12036
15	390	11819
16	410	11661
17	429	11501
18	448	11360
19	469	11278
20	489	11169
21	509	11065
22	529	10978
23	547	10860
24	565	10746
25	583	10642
26	604	10584
27	622	10494
28	641	10425
29	660	10340
30	678	10269
31	697	10206
32	717	10149
33	736	10094
34	754	10027
35	772	9961
36	789	9876
37	808	9826
38	827	9778
39	845	9724
40	865	9686
41	885	9658
42	905	9628
43	924	9583
44	943	9538
45	962	9500
46	982	9465
47	1001	9433
48	1020	9389
49	1038	9346
50	1055	9296
51	1074	9256
52	1092	9211
53	1110	9171
54	1129	9137
55	1148	9107
56	1167	9070
57	1186	9042
58	1205	9008
59	1223	8971
60	1242	8945
61	1261	8913
62	1280	8878
63	1298	8845
64	1316	8812
65	1334	8777
66	1352	8741
67	1372	8716
68	1389	8681
69	1408	8651
70	1427	8627
71	1446	8596
72	1464	8563
73	1483	8537
74	1501	8508
75	1519	8479
76	1538	8451
77	1558	8430
78	1577	8404
79	1595	8378
80	1613	8346
81	1631	8318
82	1650	8290
83	1671	8278
84	1690	8252
85	1708	8225
86	1726	8196
87	1746	8177
88	1766	8155
89	1784	8128
90	1803	8103
91	1822	8082
92	1840	8055
93	1858	8025
94	1875	7994
95	1892	7963
96	1911	7942
97	1928	7912
98	1947	7887
99	1965	7863
100	1984	7838
101	2002	7814
102	2021	7792
103	2040	7771
104	2059	7746
105	2077	7720
106	2094	7693
107	2113	7671
108	2132	7647
109	2150	7623
110	2168	7599
111	2186	7574
112	2206	7555
113	2225	7535
114	2242	7508
115	2262	7491
116	2281	7469
117	2300	7448
118	2319	7427
119	2338	7405
120	2356	7382
121	2375	7361
122	2394	7340
123	2414	7320
124	2432	7296
125	2449	7271
126	2467	7248
127	2485	7223
128	2505	7205
129	2525	7187
130	2544	7166
131	2562	7144
132	2582	7125
133	2600	7101
134	2619	7082
135	2637	7060
136	2657	7042
137	2676	7021
138	2694	6997
139	2712	6974
140	2731	6953
141	2749	6932
142	2770	6916
143	2790	6897
144	2810	6880
145	2829	6860
146	2848	6839
147	2866	6817
148	2885	6797
149	2905	6778
150	2924	6759
151	2943	6739
152	2963	6721
153	2982	6700
154	3000	6679
155	3019	6657
156	3037	6637
157	3056	6616
158	3076	6597
159	3094	6575
160	3114	6557
161	3134	6540
162	3152	6516
163	3171	6497
164	3190	6476
165	3210	6459
166	3230	6442
167	3250	6423
168	3269	6403
169	3287	6381
170	3306	6361
171	3324	6339
172	3342	6317
173	3361	6297
174	3379	6275
175	3398	6256
176	3417	6235
177	3435	6215
178	3453	6193
179	3473	6174
180	3491	6153
181	3510	6133
182	3529	6113
183	3548	6094
184	3565	6071
185	3584	6051
186	3603	6031
187	3622	6011
188	3642	5992
189	3661	5973
190	3683	5959
191	3702	5939
192	3721	5920
193	3745	5908
194	3768	5893
195	3789	5877
196	3807	5856
197	3827	5838
198	3846	5818
199	3863	5795
200	3882	5775
201	3900	5753
202	3920	5735
203	3939	5715
204	3959	5697
205	3978	5678
206	3998	5659
207	4018	5641
208	4038	5622
209	4059	5605
210	4079	5587
211	4099	5568
212	4117	5548
213	4136	5528
214	4155	5507
215	4174	5489
216	4193	5468
217	4212	5449
218	4232	5430
219	4251	5410
220	4270	5391
221	4287	5369
222	4306	5349
223	4325	5329
224	4343	5308
225	4361	5288
226	4381	5269
227	4400	5249
228	4420	5231
229	4440	5212
230	4459	5193
231	4479	5174
232	4499	5155
233	4518	5136
234	4539	5119
235	4558	5099
236	4578	5080
237	4597	5061
238	4617	5042
239	4635	5022
240	4654	5002
241	4672	4981
242	4692	4962
243	4711	4943
244	4731	4924
245	4751	4905
246	4769	4884
247	4788	4865
248	4807	4846
249	4826	4826
250	4850	4812
251	4871	4793
252	4890	4774
253	4910	4755
254	4930	4736
255	4952	4720
256	4974	4703
257	4998	4688
258	5017	4668
259	5037	4650
260	5059	4632
261	5078	4613
262	5099	4595
263	5119	4576
264	5138	4556
265	5159	4538
266	5177	4518
267	5199	4501
268	5222	4484
269	5241	4465
270	5260	4444
271	5278	4424
272	5298	4405
273	5317	4386
274	5338	4367
275	5357	4348
276	5378	4329
277	5398	4311
278	5417	4291
279	5437	4272
280	5457	4252
281	5476	4233
282	5497	4215
283	5516	4195
284	5537	4177
285	5555	4157
286	5573	4136
287	5593	4117
288	5613	4098
289	5632	4078
290	5652	4059
291	5670	4039
292	5688	4018
293	5706	3998
294	5725	3978
295	5742	3957
296	5763	3939
297	5781	3919
298	5799	3898
299	5818	3879
300	5839	3860
301	5857	3840
302	5876	3820
303	5897	3802
304	5916	3782
305	5936	3763
306	5953	3742
307	5970	3721
308	5989	3702
309	6007	3681
310	6025	3661
311	6043	3641
312	6061	3621
313	6080	3601
314	6099	3582
315	6118	3562
316	6136	3542
317	6153	3521
318	6169	3500
319	6188	3480
320	6206	3460
321	6223	3440
322	6240	3419
323	6257	3399
324	6275	3378
325	6293	3359
326	6312	3339
327	6330	3319
328	6347	3299
329	6367	3280
330	6386	3261
331	6404	3240
332	6422	3220
333	6440	3200
334	6458	3181
335	6477	3161
336	6496	3142
337	6514	3122
338	6532	3102
339	6550	3082
340	6569	3063
341	6587	3043
342	6607	3024
343	6624	3004
344	6642	2984
345	6659	2964
346	6676	2943
347	6694	2924
348	6712	2904
349	6730	2884
350	6749	2865
351	6768	2845
352	6788	2827
353	6806	2807
354	6827	2788
355	6846	2769
356	6864	2749
357	6884	2730
358	6902	2710
359	6922	2692
360	6941	2672
361	6961	2653
362	6979	2634
363	6998	2614
364	7017	2595
365	7034	2575
366	7052	2555
367	7071	2536
368	7089	2516
369	7107	2497
370	7124	2477
371	7141	2457
372	7161	2438
373	7179	2418
374	7197	2399
375	7215	2379
376	7234	2360
377	7254	2341
378	7273	2321
379	7291	2302
380	7310	2283
381	7331	2264
382	7351	2245
383	7370	2226
384	7390	2207
385	7409	2188
386	7428	2168
387	7447	2149
388	7465	2130
389	7483	2110
390	7501	2091
391	7520	2072
392	7539	2052
393	7558	2033
394	7577	2014
395	7596	1994
396	7615	1975
397	7634	1956
398	7652	1937
399	7671	1917
400	7691	1898
401	7710	1879
402	7729	1860
403	7747	1841
404	7767	1822
405	7785	1802
406	7803	1783
407	7821	1763
408	7839	1744
409	7858	1725
410	7876	1705
411	7895	1686
412	7913	1666
413	7933	1647
414	7951	1628
415	7972	1609
416	7990	1590
417	8009	1571
418	8026	1551
419	8046	1532
420	8065	1513
421	8085	1494
422	8104	1475
423	8123	1456
424	8141	1436
425	8161	1417
426	8178	1398
427	8197	1378
428	8215	1359
429	8233	1340
430	8251	1321
431	8271	1302
432	8291	1283
433	8308	1263
434	8327	1244
435	8345	1224
436	8362	1205
437	8380	1186
438	8401	1167
439	8422	1148
440	8441	1129
441	8460	1110
442	8479	1091
443	8496	1071
444	8515	1052
445	8533	1033
446	8551	1013
447	8569	994
448	8588	975
449	8607	956
450	8626	937
451	8646	918
452	8664	899
453	8684	879
454	8703	860
455	8723	841
456	8741	822
457	8760	803
458	8778	784
459	8797	765
460	8816	745
461	8837	726
462	8856	707
463	8876	688
464	8897	669
465	8914	650
466	8934	631
467	8954	612
468	8972	593
469	8992	573
470	9010	554
471	9030	535
472	9049	516
473	9069	497
474	9088	478
475	9106	459
476	9125	440
477	9143	420
478	9162	401
479	9181	382
480	9199	363
481	9216	344
482	9234	325
483	9252	305
484	9272	286
485	9290	267
486	9307	248
487	9326	229
488	9344	210
489	9363	191
490	9381	171
491	9399	152
492	9418	133
493	9436	114
494	9454	95
495	9473	76
496	9490	57
497	9508	38
498	9526	19
499	9545	0
